artist,genres,popularity,followers,artist_id
Roy Woods,"['canadian contemporary r&b', 'canadian hip hop', 'pop rap', 'r&b', 'trap', 'trap soul']",66,819024,7mDU6nMUJnOSY2Hkjz5oqM
ScHoolboy Q,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",77,3940159,5IcR3N7QB1j6KBL8eImZ8m
Blueface,"['cali rap', 'trap']",74,4563791,3Fl1V19tmjt57oBdxXKAjJ
YK Osiris,"['melodic rap', 'pop r&b', 'pop rap', 'trap']",62,1251870,7meyrw7Or5DwteYxDJrkCM
Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",82,7529728,46SHBwWsqBkxI7EeeBEQG7
Tee Grizzley,"['detroit hip hop', 'detroit trap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",71,2631774,6AUl0ykLLpvTktob97x9hO
Quando Rondo,"['melodic rap', 'pop rap', 'trap']",66,1666440,4IprNlQiJZUUJhDl0fL2SL
Moneybagg Yo,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",81,2494416,3tJoFztHeIJkJWMrx0td2f
Flipp Dinero,"['melodic rap', 'pop rap', 'rap', 'trap', 'vapor trap']",65,982597,2HUwZ0kumzCSlhFcjFZfpp
Lorde,"['art pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",81,8694582,163tK9Wjr9P9DmM0AVK7lm
King Princess,"['alt z', 'art pop', 'dance pop', 'electropop', 'indie pop', 'indie poptimism', 'nyc pop', 'pop']",65,1329358,6beUvFUlKliUYJdLOXNj9C
girl in red,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']",79,4257654,3uwAm6vQy7kWPS2bciKWx9
FINNEAS,"['alt z', 'electropop', 'la indie', 'pop']",75,1466089,37M5pPGs6V1fchFJSgCguX
